p_relation_id,child_name,child_id,child_unit,parent_name,parent_id,parent_unit,first_date,last_date
136,"School of Oriental and African Studies, University of London",https://openalex.org/P4310311649,0,University of London,https://openalex.org/P4310311730,27,,
84,SciTechnol,https://openalex.org/P4310321726,0,OMICS Publishing Group,https://openalex.org/P4310320466,186,,
241,Siberian Branch of the Russian Academy of Sciences,https://openalex.org/P4310312755,0,Russian Academy of Sciences,https://openalex.org/P4310320535,208,,
44,Spektrum-Verlag,https://openalex.org/P4310319985,278,Springer Nature,https://openalex.org/P4310319965,220,2015-05-01,
334,Springer Gabler,https://openalex.org/P4310319842,287,Springer Science+Business Media,https://openalex.org/P4310319900,79,,
50,Springer International Publishing,https://openalex.org/P4310319972,250,Springer Nature,https://openalex.org/P4310319965,220,2015-05-01,
149,Springer Medizin,https://openalex.org/P4310320090,80,Springer Nature,https://openalex.org/P4310319965,220,2015-05-01,
28,Springer Nature (Netherlands),https://openalex.org/P4310320108,263,Springer Nature,https://openalex.org/P4310319965,220,2015-05-01,
333,Springer Nature (Netherlands),https://openalex.org/P4310320108,263,Springer Science+Business Media,https://openalex.org/P4310319900,79,,2014-12-31
14,Springer Science+Business Media,https://openalex.org/P4310319900,79,Springer Nature,https://openalex.org/P4310319965,220,2015-05-01,
190,Springer Vienna,https://openalex.org/P4310321666,0,Springer Nature,https://openalex.org/P4310319965,220,2015-05-01,
218,Springer VS,https://openalex.org/P4310319986,275,Springer Nature,https://openalex.org/P4310319965,220,2015-05-01,
114,Technology Centre Prague,https://openalex.org/P4310314168,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
184,UC Berkeley School of Law,https://openalex.org/P4310316106,0,"University of California, Berkeley",https://openalex.org/P4310316198,29,,
90,UCLA Department of Applied Linguistics,https://openalex.org/P4310316407,0,"University of California, Los Angeles",https://openalex.org/P4310315789,30,,
37,UCLA Department of Urban Planning,https://openalex.org/P4310315794,0,"University of California, Los Angeles",https://openalex.org/P4310315789,30,,
261,UCLA James S. Coleman African Studies Center,https://openalex.org/P4310315942,0,"University of California, Los Angeles",https://openalex.org/P4310315789,30,,
238,UCLA School of Law,https://openalex.org/P4310316161,0,"University of California, Los Angeles",https://openalex.org/P4310315789,30,,
187,UNESCO,https://openalex.org/P4310311059,290,United Nations,https://openalex.org/P4310321776,289,,
109,Universitetsforlaget,https://openalex.org/P4310314114,232,Aschehoug,https://openalex.org/P4310314126,274,,
131,University College Cork,https://openalex.org/P4310315392,0,National University of Ireland,https://openalex.org/P4310315389,37,,
5,University College Dublin,https://openalex.org/P4310315388,0,National University of Ireland,https://openalex.org/P4310315389,37,,
254,University College London,https://openalex.org/P4310311798,0,University of London,https://openalex.org/P4310311730,27,,
321,University Library Johann Christian Senckenberg,https://openalex.org/P4310322727,240,Goethe University Frankfurt,,284,,
212,"University of California, Agriculture and Natural Resources",https://openalex.org/P4310316178,0,University of California,https://openalex.org/P4310316177,22,,
166,"University of California, Berkeley",https://openalex.org/P4310316198,29,University of California,https://openalex.org/P4310316177,22,,
77,"University of California, Davis",https://openalex.org/P4310315571,0,University of California,https://openalex.org/P4310316177,22,,
234,"University of California, Irvine",https://openalex.org/P4310315575,0,University of California,https://openalex.org/P4310316177,22,,
29,"University of California, Los Angeles",https://openalex.org/P4310315789,30,University of California,https://openalex.org/P4310316177,22,,
320,University of California Press,https://openalex.org/P4310315693,255,University of California,https://openalex.org/P4310316177,22,,
58,"University of California, San Francisco",https://openalex.org/P4310316229,0,University of California,https://openalex.org/P4310316177,22,,
116,University of Chicago Press,https://openalex.org/P4310315672,234,University of Chicago,https://openalex.org/P4310315690,233,,
168,University of Colorado Boulder,https://openalex.org/P4310316710,32,University of Colorado,https://openalex.org/P4310315742,31,,
81,"University of Colorado, Colorado Springs",https://openalex.org/P4310316787,0,University of Colorado,https://openalex.org/P4310315742,31,,
210,University of Georgia School of Law,https://openalex.org/P4310315997,0,University of Georgia,https://openalex.org/P4310315751,25,,
144,University of Michigan Law School,https://openalex.org/P4310315934,0,University of Michigan,https://openalex.org/P4310316579,34,,
103,University of Pennsylvania Press,https://openalex.org/P4310319947,271,University of Pennsylvania,https://openalex.org/P4310316230,26,,
101,University of Texas School of Law,https://openalex.org/P4310316159,0,University of Texas at Austin,https://openalex.org/P4310316937,21,,
115,University of Toronto Press,https://openalex.org/P4310320517,51,University of Toronto,https://openalex.org/P4310313000,23,,
40,University of Washington School of Law,https://openalex.org/P4310316826,0,University of Washington,https://openalex.org/P4310321323,24,,
105,Vandenhoeck & Ruprecht,https://openalex.org/P4310320014,41,Brill,https://openalex.org/P4310320561,60,,
75,Victoria University,https://openalex.org/P4310312935,0,University of Toronto,https://openalex.org/P4310313000,23,,
151,Washington College of Law,https://openalex.org/P4310321318,0,American University,https://openalex.org/P4310315694,15,,
304,WileyOpen,https://openalex.org/P4310321151,78,Wiley,https://openalex.org/P4310320595,242,,
305,Wiley-VCH,https://openalex.org/P4310320253,281,Wiley,https://openalex.org/P4310320595,242,,
223,Władysław Szafer Institute of Botany,https://openalex.org/P4310317351,0,Polish Academy of Sciences,https://openalex.org/P4310317485,193,,
307,Wolters Kluwer Health,https://openalex.org/P4310315860,261,Wolters Kluwer,https://openalex.org/P4310318547,243,,
4,World Health Organization,https://openalex.org/P4310319663,241,United Nations,https://openalex.org/P4310321776,289,,
