child_id,parent_id,child_name,parent_name
https://openalex.org/P4310319842,https://openalex.org/P4310319965,Springer Gabler,Springer Nature
https://openalex.org/P4310319972,https://openalex.org/P4310319965,Springer International Publishing,Springer Nature
https://openalex.org/P4310320090,https://openalex.org/P4310319965,Springer Medizin,Springer Nature
https://openalex.org/P4310320108,https://openalex.org/P4310319965,Springer Nature (Netherlands),Springer Nature
https://openalex.org/P4310319900,https://openalex.org/P4310319965,Springer Science+Business Media,Springer Nature
https://openalex.org/P4310321666,https://openalex.org/P4310319965,Springer Vienna,Springer Nature
https://openalex.org/P4310319986,https://openalex.org/P4310319965,Springer VS,Springer Nature
https://openalex.org/P4310314168,https://openalex.org/P4310314171,Technology Centre Prague,Czech Academy of Sciences
https://openalex.org/P4310316106,https://openalex.org/P4310316177,UC Berkeley School of Law,University of California
https://openalex.org/P4310316407,https://openalex.org/P4310316177,UCLA Department of Applied Linguistics,University of California
https://openalex.org/P4310315794,https://openalex.org/P4310316177,UCLA Department of Urban Planning,University of California
https://openalex.org/P4310315942,https://openalex.org/P4310316177,UCLA James S. Coleman African Studies Center,University of California
https://openalex.org/P4310316161,https://openalex.org/P4310316177,UCLA School of Law,University of California
https://openalex.org/P4310311059,https://openalex.org/P4310321776,UNESCO,United Nations
https://openalex.org/P4310314114,https://openalex.org/P4310314126,Universitetsforlaget,Aschehoug
https://openalex.org/P4310315392,https://openalex.org/P4310315389,University College Cork,National University of Ireland
https://openalex.org/P4310315388,https://openalex.org/P4310315389,University College Dublin,National University of Ireland
https://openalex.org/P4310311798,https://openalex.org/P4310311730,University College London,University of London
https://openalex.org/P4310316178,https://openalex.org/P4310316177,"University of California, Agriculture and Natural Resources",University of California
https://openalex.org/P4310316198,https://openalex.org/P4310316177,"University of California, Berkeley",University of California
https://openalex.org/P4310315571,https://openalex.org/P4310316177,"University of California, Davis",University of California
https://openalex.org/P4310315575,https://openalex.org/P4310316177,"University of California, Irvine",University of California
https://openalex.org/P4310315789,https://openalex.org/P4310316177,"University of California, Los Angeles",University of California
https://openalex.org/P4310315693,https://openalex.org/P4310316177,University of California Press,University of California
https://openalex.org/P4310316229,https://openalex.org/P4310316177,"University of California, San Francisco",University of California
https://openalex.org/P4310315672,https://openalex.org/P4310315690,University of Chicago Press,University of Chicago
https://openalex.org/P4310316710,https://openalex.org/P4310315742,University of Colorado Boulder,University of Colorado
https://openalex.org/P4310316787,https://openalex.org/P4310315742,"University of Colorado, Colorado Springs",University of Colorado
https://openalex.org/P4310315997,https://openalex.org/P4310315751,University of Georgia School of Law,University of Georgia
https://openalex.org/P4310315934,https://openalex.org/P4310316579,University of Michigan Law School,University of Michigan
https://openalex.org/P4310319947,https://openalex.org/P4310316230,University of Pennsylvania Press,University of Pennsylvania
https://openalex.org/P4310316159,https://openalex.org/P4310316937,University of Texas School of Law,University of Texas at Austin
https://openalex.org/P4310320517,https://openalex.org/P4310313000,University of Toronto Press,University of Toronto
https://openalex.org/P4310316826,https://openalex.org/P4310321323,University of Washington School of Law,University of Washington
https://openalex.org/P4310320014,https://openalex.org/P4310313990,Vandenhoeck & Ruprecht,De Gruyter Brill
https://openalex.org/P4310312935,https://openalex.org/P4310313000,Victoria University,University of Toronto
https://openalex.org/P4310321318,https://openalex.org/P4310315694,Washington College of Law,American University
https://openalex.org/P4310321151,https://openalex.org/P4310320595,WileyOpen,Wiley
https://openalex.org/P4310320253,https://openalex.org/P4310320595,Wiley-VCH,Wiley
https://openalex.org/P4310317351,https://openalex.org/P4310317485,Władysław Szafer Institute of Botany,Polish Academy of Sciences
https://openalex.org/P4310315860,https://openalex.org/P4310318547,Wolters Kluwer Health,Wolters Kluwer
https://openalex.org/P4310319663,https://openalex.org/P4310321776,World Health Organization,United Nations
